Station,Location,Easting,Northing
Abbey Road DLR,Stratford,539082.3333333334,183383.66666666666
Aberffrwd (Vale of Rheidolway),Aber-ffrwd,268670.0,278720.0
Abergynolwyn (Talyllynway),Abergynolwyn,267052.0,306383.0
Abraham Moss (Manchester Metrolink),Cheetham Hill,384432.0,401548.6666666667
Acton Town,Acton Town,519456.25,179641.0
Addington Village Tram ,Addington,537090.0,163758.0
Addiscombe Tram ,Addiscombe,534196.6666666666,166293.0
Aldgate,Aldgate,533639.5,181224.5
Aldgate East,Aldgate East,533896.6666666667,181347.5
All Saints,All Saints,537979.0,180999.5
Alperton,Alperton,518036.5,183784.5
Alresford (Mid Hantsway),New Alresford,458861.5,132441.0
Alston (South Tynedaleway),Alston,371707.0,546727.0
Alton (Mid-Hantsway),Alton,472350.0,139700.0
Altrincham (Manchester Metrolink),Altrincham,376979.6666666667,387904.0
Amersham Underground,Amersham,496383.0,198183.5
Ampere Way Tram ,Broad Green,530673.3333333334,166467.33333333334
Anchorage (Manchester Metrolink),Salford Quays,381113.5,397548.1666666667
Anchorsholme (Blackpool Tramway),Anchorsholme,331536.0,442192.3333333333
Angel,Angel,531467.0,183206.75
Arbourthorne Road,Norfolk Park,436830.6666666667,385314.0
Archway,Archway,529374.5,186814.8333333333
Arena Tram ,Woodside,535215.3333333334,167542.0
Arena/Olympic Legacy Park,Don Valley,438629.6666666667,389195.8333333333
Arnos Grove,Arnos Grove,529343.0,192475.5
Arsenal,Arsenal,531355.0,186103.5
Ashey (Isle of Wight Steamway),Ashey,457786.5,88831.5
Ashton Moss (Manchester Metrolink),Ashton Moss,392006.6666666667,398556.3333333333
Ashton West (Manchester Metrolink),Ashton Moss,392816.4,399284.6
Ashton-Under-Lyne (Manchester Metrolink),Ashton-under-Lyne,393592.6666666667,399295.6666666667
Attercliffe,Attercliffe,438004.1666666667,388536.1666666667
Audenshaw (Manchester Metrolink),Audenshaw,391400.0,397948.3333333333
Avenue Road Tram ,Penge & Sydenham,535782.5,169340.5
Aviemore (Strathspeyway),Aviemore,289585.0,812340.0
Aylsham (Bure Valleyway),Aylsham,619560.0,326495.0
Baguley (Manchester Metrolink),Baguley,380647.0,388934.25
Baker Street,Baker Street,527952.5,182024.375
Bala (Bala Lakeway),Bala,292971.0,334985.0
Balfour Street (Edinburgh Trams),Pilrig,326672.0,675331.0
Balgreen (Edinburgh Trams),Balgreen,321876.0,672382.0
Balham,Balham,528464.875,173207.625
Bamforth Street,Langsett Road,433837.1666666667,389237.6666666667
Bank,City of London,532720.1282051281,181096.358974359
Bank Foot (Tyne and Wear Metro),Kenton Bank Foot,420683.0,568877.0
Bankhead (Edinburgh Trams),Sighthill,319282.0,671409.0
Barbican,Barbican,532076.0,181867.5
Barking Underground,Barking,544421.0,184321.0
Barkingside,Barkingside,544788.0,189499.0
Barlow Moor Road,Chorltonville,382213.5,392929.3333333334
Barmouth Ferry (Fairbourneway),Barmouth,261725.0,315020.0
Barons Court,Barons Court,524128.5,178334.5
Barton Dock Road (Manchester Metrolink),Trafford Park,377390.2,396610.4
Basford Tram ,Basford,455258.0,343015.6666666667
Battersea Power Underground,Nine Elms,529103.0,177289.5
Beaconsfield Street Tram ,Forest Fields,455798.5,341742.5
Beckenham Junction Tram ,Beckenham,537372.5,169808.0
Beckenham Road Tram ,Penge & Sydenham,536177.5,169639.5
Beckfoot (Ravenglass and Eskdaleway),Beckfoot,316854.0,500458.0
Beckton,Beckton,543112.0,181504.0
Beckton Park,Beckton Park,542701.5,180901.5
Becontree,Becontree Heath,547622.0,184529.5
Bedale (Wensleydaleway),Bedale,426950.0,488243.0
Beddgelert (Welsh Highland Rly-Caernarfon),Beddgelert,258640.0,348168.0
Beddington Lane Tram ,Beddington Corner,529379.5,167210.0
Bede (Tyne and Wear Metro),Bede,434335.0,564555.0
Beeston Centre Tram ,Beeston,452885.0,336725.0
Beighton - Drake House Lane,Beighton,443541.0,382954.0
Beighton-Drake House Lane to City,Beighton,443541.0,382953.5
Beighton-Drake Hse Ln Entrance,Beighton,443528.0,382955.0
Belgrave Walk Tram ,Morden,526820.0,168453.66666666666
Belsize Park,Belsize Park,527358.0,185092.5
Benchill (Manchester Metrolink),Benchill,383061.3333333333,387834.6666666667
Benton (Tyne and Wear Metro),Benton,427738.0,568880.0
Bermondsey,Bermondsey,534504.5,179455.5
Berwyn (Llangollenway),Berwyn,319844.0,343165.0
Besses o'th'barn (Manchester Metrolink),Besses O Th Barn,381127.0,405087.3333333333
Bethnal Green,Bethnal Green,534989.0,182726.25
Bilston Central (Midland Metro ),Bilston,395013.3333333333,296442.3333333333
Birkbeck Tram ,Anerley,535349.5,168985.0
Birkhill (BoÃ¢ÂÂness & Kinneilway),Boness,296508.0,679062.0
Birley Lane,Birley,440089.8333333333,382777.3333333333
Birley Moor Road,Owlthorpe,440798.8333333333,382915.5
Birmingham International Airport (Air-Rail link),Birmingham Airport,418292.0,283936.0
Birmingham Intl (Air-Rail Link),Birmingham Airport,418707.0,283647.0
Bishops Lydeard (West Somersetway),Bishops Lydeard,316386.5,129034.5
Bispham (Blackpool Tramway),Bispham,330792.0,439744.6666666667
Bitton (Avon Valleyway),Bitton,366990.0,170257.0
Black Lake (Midland Metro ),Black Lake,399356.0,292515.5
Blackfriars,Blackfriars,531668.0,180891.5
Blackhorse Lane Tram ,Woodside,534352.0,166837.5
Blackhorse Road Underground,Blackhorse Road,535805.0,189380.0
Blackwall,Blackwall,538412.0,180671.5
Blue Anchor (West Somersetway),Blue Anchor,302178.0,143429.0
Boat of Garten (Strathspeyway),Boat of Garten,294350.0,818850.0
Bodiam (Kent & East Sussexway),Bodiam,578317.5,125003.0
Bodmin General (Bodmin & Wenfordway),Bodmin,207325.0,66366.0
Bodmin Parkway (Bodmin and Wenfordway),Bodmin,211100.0,64120.5
Bolton Abbey (Embsay & Bolton Abbeyway),Bolton Abbey,406136.0,453370.0
Bond Street,Bond Street,528511.0714285714,181107.2142857143
Borough,The Borough,532456.75,179728.0
Boscarne Junction (Bodmin and Wenfordway),Dunmere,204153.5,67435.5
Boston Manor,Boston Manor,516394.5,178752.5
Bounds Green,Bounds Green,529985.5,191460.0
Bow Church,Bow,537383.0,182847.5
Bow Road,Bow,537099.0,182750.0
Bowker Vale (Manchester Metrolink),Bowker Vale,383578.3333333333,403136.3333333333
BoÃ¢ÂÂness (BoÃ¢ÂÂness & Kinneilway),Boness,300332.0,681714.0
Bradley Lane (Midland Metro ),Lower Bradley,396212.0,295315.5
Bramcote Lane Tram ,Chilwell,451449.0,336289.0
Brechin (Caledonianway),Brechin,360197.0,760166.0
Brent Cross,Brent Cross,523896.75,187946.5
Bridge Street SPT Subway,Tradeston,258702.0,664393.5
Bridge of Dun (Caledonianway),Bridge of Dun,366430.0,758750.0
Brindleyplace (Midland Metro ),Birmingham,406048.0,286536.0
Brixton,Brixton,531050.5,175425.0
Broadwater (Blackpool Tramway),Broadwater,332278.3333333333,445797.0
Broadway (Manchester Metrolink),Broadway,380520.0,397601.8
Brockley Whins (Tyne and Wear Metro),Brockley Whins,434591.0,562900.0
Bromley-By-Bow,Bromley By Bow,538054.0,182527.5
Brooklands (Manchester Metrolink),Brooklands,378438.0,391198.5
Broomhill (Strathspeyway),Nethy Bridge,299610.0,822645.0
Brynglas (Talyllynway),Brynglas Sta,262850.0,303121.0
Buchanan Street SPT Subway,Glasgow,259069.0,665549.0
Buckfastleigh (South Devonway),Buckfastleigh,274602.0,66280.0
Buckhurst Hill Underground,Buckhurst Hill,541763.5,193886.5
Bull Street (Midland Metro ),Birmingham,407139.0,287110.0
Bulwell Forest Tram ,Bulwell Forest,454423.3333333333,345663.0
Bulwell Tram ,Bulwell,454084.3333333333,345005.3333333333
Burlington Road West (Blackpool Tramway),South Shore,330538.3333333333,432851.0
Burmarsh Road (RHDR),Dymchurch,610717.5,130599.0
Burnt Oak,Burnt Oak,520324.5,190743.0
Burton Road (Manchester Metrolink),West Didsbury,384125.6666666667,392493.6666666667
Bury (Manchester Metrolink),Bury,380426.0,410527.3
Bury Bolton Street (East Lancashireway),Bury,380260.0,410816.0
Tram& Bus Interchange,Beeston,452886.0,336725.0
Butler's Hill Tram ,Butlers Hill,454514.0,348265.0
Byker (Tyne and Wear Metro),Byker,427010.0,564695.0
Cabin (Blackpool Tramway),North Shore,330687.3333333333,438499.3333333333
Caernarfon (Welsh Highland Rly-Caernarfon),Caernarfon,248126.0,362444.0
Caledonian Road,Caledonian Road,530570.0,184972.5
Callerton Parkway (Tyne and Wear Metro),Callerton Parkway,419003.0,570447.0
Camden Town,Camden Town,528905.75,183899.0
Canada Water Underground,Canada Water,535475.0,179470.0
Canary Wharf DLR,Canary Wharf,537455.0,180311.6
Canary Wharf Underground,Canary Wharf,537664.25,180144.5
Canning Town,Canning Town,539449.5555555555,181364.77777777778
Cannon Street,Cannon Street,532606.5,180899.25
Canons Park,Canons Park,518190.5,191242.75
Capel Bangor (Vale of Rheidolway),Capel-Bangor,264744.0,279807.0
Carbrook,Carbrook,439263.3333333333,390017.0
Carrog (Llangollenway),Carrog,311780.0,343524.0
Castle Caereinion (W&LLR),Castle Caereinion,316080.0,305895.0
Castle Square,Sheffield Centre,435612.8333333333,387492.6666666667
Cathedral,Sheffield Centre,435414.8333333333,387434.6666666667
Cator Lane,Chilwell,451768.25,336408.75
Cavendish Road (Blackpool Tramway),North Shore,330779.6666666667,439440.6666666667
Cemetery Road (Manchester Metrolink),Droylsden,389812.8,398136.6
Centenary Square (Midlands Metro ),Birmingham,406317.0,286752.0
Central (Tyne and Wear Metro),Newcastle upon Tyne,424673.0,563900.0
Central Park,Newton Heath,386891.3333333334,400560.0833333334
Central Pier (Blackpool Tramway),Bloomfield,330592.3333333333,435574.6666666667
Centrale Tram ,Croydon,532075.5,165794.5
Cessnock SPT Subway,Cessnock,256472.5,664480.5
Chalfont & Latimer Underground,Little Chalfont,499639.0,197561.33333333334
Chalk Farm,Chalk Farm,528146.0,184408.5
Chancery Lane,Chancery Lane,531130.8333333333,181611.1666666667
Charing Cross,Charing Cross,530109.125,180434.8333333333
Cheddleton (Churnet Valleyway),Cheddleton,398255.0,352050.0
Cheltenham Racecourse (Gloucs Warwicksway),Cheltenham,395331.0,225037.0
Chesham Underground,Chesham,496070.0,201634.0
Chichester (Tyne and Wear Metro),Chichester,436455.0,565905.0
Chigwell Underground,Chigwell,543737.6666666666,193046.0
Chillingham Road (Tyne and Wear Metro),Heaton,427510.0,565442.0
Chilwell Road,Chilwell,452524.25,336427.0
Chiswick Park,Chiswick Park,520345.1666666666,178703.0
Chorleywood Underground,Chorleywood,502589.3333333333,196091.66666666666
Chorlton (Manchester Metrolink),Chorlton,381936.5,394026.0
Church Street Tram ,Croydon,532024.5,165565.0
Churston (Paignton and Dartmouthway),Churston,289435.0,56290.0
Cinderhill Tram ,Cinderhill,453754.6666666667,343814.3333333333
City Hall,Sheffield Centre,435160.6666666667,387341.5
Clapham Common,Clapham Common,529427.5,175281.8333333333
Clapham North,Clapham North,530011.0,175679.0
Clapham South,Clapham South,528806.5,174270.5
Clayton Hall (Manchester Metrolink),Clayton,387993.2,398464.6
Cleveleys (Blackpool Tramway),Cleveleys,331739.6666666667,442880.6666666667
Cliffs Hotel (Blackpool Tramway),North Shore,330675.6666666667,438259.3333333333
Clifton Centre Tram ,Clifton,455456.0,334348.3333333333
Clifton Park and Ride,Clifton,454348.0,333499.0
Clifton South Tram ,Clifton,454406.0,333550.0
Cockfosters,Cockfosters,528120.25,196369.875
Colesloggett Halt (Bodmin and Wenfordway),Bodmin,210278.0,65637.5
Colindale,Colindale,521320.0,189954.0
Colliers Wood,Colliers Wood,526785.75,170368.0
Colyford (Seaton Tramway),Colyford,325406.0,92673.5
Colyton (Seaton Tramway),Colyton,325165.0,94078.0
Compton Acres Tram ,Compton Acres,456744.0,336071.0
Coombe Lane Tram ,Upper Shirley,535228.6666666666,164084.0
Corfe Castle (Swanageway),Corfe Castle,396200.5,82068.5
Cornbrook (Manchester Metrolink),Cornbrook,382334.0,397067.5
Corporation Street (Midland Metro ),Birmingham,407008.0,286816.5
Covent Garden,Covent Garden,530257.0,181016.75
Cowcaddens SPT Subway,Glasgow,258681.0,666187.0
Cricket Inn Road,Park Hill,436905.5,387605.0
Crossacres (Manchester Metrolink),Wythenshawe,383050.8,387415.8
Crossharbour,Crossharbour,537929.25,179287.75
Crowcombe Heathfield (West Somersetway),Crowcombe Heathfield,313700.0,134285.0
Croxley Underground,Croxley Green,507912.0,195400.5
Crumpsall (Manchester Metrolink),Higher Crumpsall,384102.0,402311.0
Crystal Peaks,Crystal Peaks,442967.0,382947.1666666667
Cullercoats (Tyne and Wear Metro),Cullercoats,436130.0,571315.0
Custom House,Custom House,540757.75,180909.75
Cutty Sark for Maritime Greenwich,Cutty Sark,538233.5,177728.0
Cyprus,Cyprus,543324.25,180842.25
Dagenham East,Dagenham East,550296.5,185030.5
Dagenham Heathway,Dagenham,549031.5,184719.0
Dalegarth (Ravenglass and Eskdaleway),Dalegarth,317361.0,500716.0
Damems (Keighley & Worth Valleyway),Hainworth,405075.0,438860.0
Dane Road (Manchester Metrolink),Sale,379399.0,392646.5
Darley Dale (Peak),Darley Dale,427241.0,362643.0
Dartmouth St (Midland Metro ),Lamberts End,399789.0,291398.5
David Lane Tram ,Basford,455006.3333333333,343374.6666666667
Dean Forestway,Parkend,362660.6666666667,205158.33333333334
Deansgate-Castlefield (Manchester Metrolink),Manchester City Centre,383444.5,397581.5
Debden Underground,Debden,544282.0,196119.0
Deptford Bridge,Deptford Bridge,537436.5,176890.5
Dereham (Mid Norfolkway),Dereham,599352.0,313090.0
Derker (Manchester Metrolink),Derker,393355.0,405931.0
Devils Bridge (Vale of Rheidolway),Devils Bridge,273879.0,276930.0
Devons Road,Devons Road,537633.5,182280.0
Didsbury Village (Manchester Metrolink),Didsbury,384887.6666666667,391150.6666666667
Dinas (Welsh Highland Rly-Caernarfon),Llanwnda,247683.0,358707.0
Dolgoch Falls (Talyllynway),Dol-goch,265115.0,304579.0
Dollis Hill,Dudden Hill,522191.5,185145.75
Donetsk Way,Owlthorpe,442019.3333333333,382943.0
Doniford Beach (West Somersetway),Doniford,308436.5,142943.0
Droylsden (Manchester Metrolink),Droylsden,390487.3333333333,398094.3333333333
Drummuir (Keith and Dufftownway),Drummuir,337740.0,844133.0
Dudlay St Guns Village (Midland Metro ),Guns Village,399514.0,291917.5
Duffield (Ecclesbourne Valleyway),Duffield,434564.0,343545.0
Dufftown (Keith and Dufftownway),Dufftown,332258.0,841404.0
Dundonald Road Tram ,Wimbledon,524736.0,170243.5
Dungeness (RHDR),Dungeness,608895.0,116980.5
Dunster (West Somersetway),Dunster,299575.0,144750.0
Dymchurch (RHDR),Dymchurch,609818.5,129349.0
Ealing Broadway Underground,Ealing Broadway,517958.0,180933.0
Ealing Common,Ealing Common,518889.0,180422.0
Earl's Court,Earls Court,525482.75,178513.75
East Acton,East Acton,521706.5,181197.5
East Boldon (Tyne and Wear Metro),East Boldon,437190.0,561492.0
East Croydon Tram ,Croydon,532867.5,165706.5
East Didsbury (Manchester Metrolink),East Didsbury,385650.75,390570.0
East Finchley,East Finchley,527242.25,189166.75
East Ham,East Ham,542355.75,184231.0
East India,East India,538733.0,180838.1666666667
East Putney,East Putney,524395.0,174874.0
Eastcote,Eastcote,511156.25,187620.25
Eccles (Manchester Metrolink),Eccles,377895.0,398535.3333333333
Edgbaston Village (Midland Metro ),Birmingham,405290.0,286010.0
Edge Lane (Manchester Metrolink),Droylsden,389122.0,398251.0
Edgware,Edgware,519509.25,191938.25
Edgware Road (Bakerloo line),Edgware Road,527105.3333333334,181721.66666666666
Edgware Road (Circle line),Edgware Road,527235.5,181707.25
Edinburgh Airport (Edinburgh Trams),Edinburgh Airport,315132.0,673567.0
Edinburgh Park (Edinburgh Trams),Edinburgh Park,318435.0,671260.0
Edinburgh Park Central (Edinburgh Trams),Edinburgh Park,317953.0,671697.0
Edinburgh way (Edinburgh Trams),Gogar,317537.0,672724.0
Elephant & Castle,Elephant & Castle,531950.75,179029.75
Elm Park,Elm Park,552560.0,185730.5
Elmers End,Elmers End,535781.0,168411.0
Elverson Road,Elverson Road,537866.0,176304.0
Embankment,Embankment,530400.75,180358.0
Embsay (Embsay & Bolton Abbeyway),Embsay,400643.0,453282.0
Epping Underground,Epping,546188.5,201555.0
Eridge (Spa Valleyway),Eridge Green,554277.5,134505.0
Eskdale Drive,Chilwell,450987.0,336147.0
Eskdale Drive Tram ,Chilwell,450987.0,336147.0
Eskdale Green (Ravenglass and Eskdaleway),Eskdale,314540.0,499845.0
Etihad Campus (Manchester Metrolink),Sportcity,386720.75,398732.75
Euston Square,Euston Square,529426.0,182388.25
Euston Underground,Euston,529555.0,182660.0
Exchange  (Manchester Metrolink),Salford Quays,381348.6666666667,396775.6666666667
Exchange Square (Manchester Metrolink),Manchester City Centre,383995.6666666667,398667.3333333333
Eythorne (East Kentway),Eythorne,628141.5,149523.5
Failsworth (Manchester Metrolink),Failsworth,389276.0,401543.0
Fairbourne (Fairbourneway),Fairbourne,261570.0,312850.0
Fairlop,Fairlop,544922.0,190598.0
Farringdon,Farringdon,531577.75,181870.0
Fawdon (Tyne and Wear Metro),Fawdon,422825.0,568855.0
Fellgate (Tyne and Wear Metro),Fellgate,433030.0,562645.0
Felling (Tyne and Wear Metro),Felling,427555.0,562120.0
Ferry Meadows (Nene Valleyway),Ferry Meadows,515187.0,297046.0
Fieldway Tram ,Forestdale,537673.0,163211.5
Finchley Central,Finchley Central,525276.0,190663.0
Finchley Road,Finchley Road,526311.0,184676.0
Finghall (Wensleydaleway),Finghall,418473.0,490045.0
Finsbury Park,Finsbury Park,531317.625,186749.375
Firswood (Manchester Metrolink),Firswood,381644.5,394994.5
Fisherground (Ravenglass and Eskdaleway),Eskdale,315072.0,500207.0
Fisherman's Walk (Blackpool Tramway),Fleetwood,333280.3333333333,447540.0
Fitz Sq/Ponds Forge to Mdwhall-Halfwy,Sheffield Centre,435757.75,387502.5
Fitzalan Sq - Ponds Forge,Sheffield Centre,435758.0,387503.0
Five Ways (Midland Metro ),Birmingham,405850.0,286314.0
Fleetwood Ferry (Blackpool Tramway),Fleetwood,333909.5,448412.5
Foot of the Walk (Edinburgh Trams),Leith,327002.0,675928.0
Four Lane Ends (Tyne and Wear Metro),Four Lane Ends,427048.0,568477.0
Freehold (Manchester Metrolink),Chadderton,390948.6666666667,404565.6666666667
Fulham Broadway,Fulham Broadway,525411.5,177225.0
Gallions Reach,Gallions Reach,543872.5,180914.0
Gants Hill,Gants Hill,543275.9,188442.85
Gatwick North Terminal Shuttle,Gatwick Airport,527595.0,141774.0
Gatwick South Terminal Shuttle,Gatwick Airport,528658.5,141368.0
George Street Tram ,Croydon,532430.0,165595.0
